name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Hero Honda CBZ extreme,35000,2011,Individual,1st owner,28000,
Suzuki Gixxer [2014-2018],45000,2015,Individual,1st owner,40000,78316
Hero Xpulse 200,98000,2019,Individual,1st owner,8500,107500
Bajaj Pulsar 150,75000,2017,Individual,1st owner,30000,
Bajaj Pulsar AS150,55000,2017,Individual,2nd owner,20000,80821
Bajaj Platina 100,25000,2013,Individual,1st owner,30000,
Honda CB Twister,70000,2014,Individual,1st owner,12566,49150
Suzuki SlingShot,24000,2011,Individual,1st owner,17000,
TVS Apache RTR 160,70000,2018,Individual,1st owner,17000,
Bajaj V12,45000,2017,Individual,1st owner,35000,58906
Hero Karizma 2014,25000,2015,Individual,1st owner,40000,86744
Yamaha YZF R15 V3,170000,2019,Individual,1st owner,1400,146400
Yamaha Fascino 110,38000,2016,Individual,1st owner,37000,54500
Honda CB Unicorn 160,45000,2015,Individual,1st owner,15000,77545
Yamaha Gladiator,15000,2009,Individual,1st owner,46000,
Hero Honda Glamour,45000,2012,Individual,1st owner,75000,
Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859
Mahindra Gusto,30000,2015,Individual,2nd owner,20000,51185
Royal Enfield Thunderbird 350,100000,2012,Individual,1st owner,28000,
Royal Enfield Classic 350,100000,2014,Individual,1st owner,19000,
Bajaj Pulsar 150,60000,2017,Individual,1st owner,28450,
Royal Enfield Electra Twinspark,100000,2014,Individual,1st owner,31500,
Bajaj Pulsar 150,40000,2016,Individual,1st owner,28000,
Bajaj Pulsar 150,21000,2007,Individual,1st owner,100000,
Hero HF Deluxe,40000,2018,Individual,1st owner,16000,
Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267
Yamaha FZ S [2012-2016],45000,2015,Individual,1st owner,24000,79432
Bajaj Avenger Cruise 220,75000,2016,Individual,1st owner,10950,
Honda Dio,45000,2017,Individual,1st owner,35850,
Honda Activa i [2016-2017],35000,2016,Individual,1st owner,29000,53436
Royal Enfield Bullet 350 [2007-2011],60000,2001,Individual,2nd owner,4000,
Yamaha FZ V 2.0,60000,2016,Individual,1st owner,45420,81508
Royal Enfield Classic 350,130000,2018,Individual,2nd owner,35000,
Honda CB Shine SP,42000,2017,Individual,1st owner,19800,64750
Bajaj V15,76000,2018,Individual,1st owner,23000,65626
Hero CBZ,40000,2014,Individual,1st owner,35000,
Hero Splendor Plus,65000,2018,Individual,1st owner,7500,
Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032
Honda CB Hornet 160R,75000,2016,Individual,1st owner,72000,92661
Honda CB Hornet 160R,70000,2018,Individual,1st owner,7000,92661
TVS Apache RTR 160 4V,105000,2019,Individual,1st owner,6000,
Honda CB Shine SP,50000,2017,Individual,1st owner,34300,62317
Royal Enfield Classic 350,120000,2017,Individual,1st owner,7199,
Bajaj Pulsar 180,25000,2011,Individual,1st owner,43000,85011
TVS XL 100,30000,2017,Individual,1st owner,8000,30490
Hero Super Splendor,50000,2017,Individual,1st owner,9999,
Hero Honda CBZ extreme,25000,2007,Individual,1st owner,80000,
Bajaj Pulsar 180,50000,2014,Individual,1st owner,30000,85011
Bajaj Discover 150,35000,2015,Individual,1st owner,12000,54299
Bajaj Pulsar 180,30000,2009,Individual,1st owner,17500,85011
